n,days,seed_inst,coverage_ratio,seed_sa,z_greedy,feas_greedy,z_sa,feas_sa,t_sa,sa_iters,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref
8,14,2,1.1,23,0.7088995470290435,True,0.4501865174527045,True,1.6935655410052277,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,24,0.7088995470290435,True,0.4501865174527045,True,1.6971925830002874,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,25,0.7088995470290435,True,0.4501865174527045,True,1.6932754999870667,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,26,0.7088995470290435,True,0.4501865174527045,True,1.6885565410048002,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,27,0.7088995470290435,True,0.4501865174527045,True,1.6957056669925805,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,28,0.7088995470290435,True,0.4501865174527045,True,1.6903660840034718,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,29,0.7088995470290435,True,0.4501865174527045,True,1.6870957079954678,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,3,1.1,0,1.5201326043237808,False,0.4517094017094017,True,1.652053750003688,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,1,1.5201326043237808,False,0.45397184514831573,True,1.657687334009097,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,10.0,2.0,1.0,0.0,0.0
8,14,3,1.1,2,1.5201326043237808,False,0.4517094017094017,True,1.6562052499939455,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,3,1.5201326043237808,False,0.4517094017094017,True,1.6453139999939594,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,4,1.5201326043237808,False,0.4517094017094017,True,1.6566577079938725,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,5,1.5201326043237808,False,0.4517094017094017,True,1.6650007919961354,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,6,1.5201326043237808,False,0.4517094017094017,True,1.6551281669962918,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,7,1.5201326043237808,False,0.4517094017094017,True,1.6486763749999227,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,8,1.5201326043237808,False,0.4517094017094017,True,1.650580165995052,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,9,1.5201326043237808,False,0.4517094017094017,True,1.644082457991317,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,10,1.5201326043237808,False,0.4517094017094017,True,1.6406056660052855,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,11,1.5201326043237808,False,0.4517094017094017,True,1.6434412500093458,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,12,1.5201326043237808,False,0.4517094017094017,True,1.6386439159978181,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,13,1.5201326043237808,False,0.4517094017094017,True,1.6385383750020992,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,14,1.5201326043237808,False,0.45397184514831573,True,1.639262458003941,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,10.0,2.0,1.0,0.0,0.0
8,14,3,1.1,15,1.5201326043237808,False,0.4517094017094017,True,1.6433688749966677,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,16,1.5201326043237808,False,0.4517094017094017,True,1.6402936670056079,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,17,1.5201326043237808,False,0.4517094017094017,True,1.6491119999991497,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,18,1.5201326043237808,False,0.4517094017094017,True,1.6440522089978913,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
8,14,3,1.1,19,1.5201326043237808,False,0.4517094017094017,True,1.6456189579912461,100000,0.0,4.0,106.0,5.0,2.0,40.0,0.0,0.0,4.0,28.0,0.0,1.0,0.0,0.0
