n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
20,28,0,1.1,bounded,hard,7.3139538215783375,False,1.9188081249885727,0.5026222620447695,True,13.603194416995393,max_iterations,364800,0.35055816585723804,False,0.15672847113764213,0.29561572047761714,True,2538,4242,301.14284183399286,0.29561572047761714,7.018338101100721,23.741423797629604,0.2070065415671523,0.7002555250874286,,1.0,14.0,416.6,11.0,3.0,57.0,0.0,0.0,15.0,130.0000000000001,2.0,2.0,0.0,0.0,0.0,15.0,44.19999999999993,1.0,2.0,0.0,0.0
20,28,1,1.1,bounded,hard,7.394386847696084,False,1.3935762089968193,0.4990762188244484,True,12.607255083014024,max_iterations,358400,0.3395454270355921,False,0.111653885594694,0.3016338607711587,True,2522,4160,301.33770066700527,0.3016338607711587,7.092752986924925,23.51444552276576,0.1974423580532897,0.6545762387170575,,1.0,15.0,405.40000000000003,10.0,4.0,32.0,0.0,0.0,16.0,122.7999999999999,2.0,2.0,0.0,0.0,0.0,16.0,13.999999999999886,2.0,2.0,0.0,0.0
20,28,2,1.1,bounded,hard,25.29317094199393,False,1.7215312499902211,0.4921610897885046,True,12.521223792020464,max_iterations,364800,0.20671004204954016,False,0.14780449492842349,0.17615736868777462,True,2538,4242,301.1153515840124,0.17615736868777462,25.117013573306156,142.58281535655843,0.31600372110072994,1.7938717151300223,,4.0,11.0,424.3,11.0,3.0,26.0,0.0,0.0,13.0,130.2999999999999,2.0,2.0,1.0,0.0,0.0,13.0,26.499999999999943,1.0,1.0,0.0,0.0
20,28,3,1.1,bounded,hard,1.1955991195892013,False,1.3914061250106897,0.4890225003168671,True,11.982187542016618,max_iterations,358400,0.34330380295583396,False,0.12348451197600967,0.30091110038832447,True,2522,4140,300.9657850830117,0.30091110038832447,0.8946880192008768,2.9732635919588404,0.18811139992854264,0.6251394504416278,,0.0,15.0,349.5,10.0,3.0,32.0,0.0,0.0,16.0,115.5,2.0,2.0,0.0,0.0,0.0,15.0,17.0,2.0,2.0,0.0,0.0
20,28,4,1.1,bounded,hard,7.125338958564473,False,1.7582634580030572,0.4837640624854366,True,19.819310249993578,max_iterations,364800,0.32961860022928724,False,0.09701645672913782,0.2976401790803376,True,2538,4222,300.33841191601823,0.2976401790803376,6.827698779484136,22.93943915966143,0.186123883405099,0.625331848610605,,1.0,14.0,404.0,10.0,2.0,0.0,0.0,0.0,15.0,119.0,2.0,2.0,0.0,0.0,0.0,15.0,30.0,1.0,2.0,0.0,0.0
30,28,0,1.1,bounded,hard,13.22966189959022,False,6.984500999999,0.5331724443097478,True,28.982188416994177,max_iterations,547200,0.20360910062370313,False,0.14252976194701322,0.1745887439815609,True,3804,6309,300.4022523750027,0.1745887439815609,13.055073155608659,74.77614454335878,0.35858370032818687,2.0538763963274658,,2.0,18.0,569.4666666666667,11.0,3.0,16.0,0.0,0.0,20.0,237.39999999999992,2.0,2.0,1.0,0.0,0.0,20.0,35.26666666666688,1.0,1.0,0.0,0.0
30,28,1,1.1,bounded,hard,1.0196831033868212,False,6.016678666986991,0.5322946603240362,True,26.59955566600547,max_iterations,544000,0.20771920857600173,False,0.06073150170816668,0.19510410910554915,True,3796,6248,300.82754445800674,0.19510410910554915,0.824578994281272,4.2263538070086675,0.337190551218487,1.7282596084948199,,0.0,18.0,539.4,10.0,2.0,33.0,0.0,0.0,20.0,217.60000000000008,3.0,2.0,0.0,0.0,0.0,18.0,45.0,1.0,1.0,0.0,0.0
30,28,2,1.1,bounded,hard,19.174903886614853,False,4.815365290996851,0.5745064863972129,True,24.850348000007216,max_iterations,544000,0.20839128942468083,False,0.15235603533804806,0.17664160245272703,True,3796,6308,300.8569147500093,0.17664160245272703,18.998262284162127,107.55259248311256,0.3978648839444859,2.2523849332207164,,3.0,19.0,556.4666666666667,10.0,3.0,0.0,0.0,0.0,21.0,289.2666666666669,2.0,2.0,0.0,0.0,0.0,19.0,42.66666666666674,1.0,1.0,0.0,0.0
30,28,3,1.1,bounded,hard,6.946121344889302,False,6.741755791008472,0.5364901770934969,True,35.18825812501018,max_iterations,544000,0.20315074151306303,False,0.12675997860285265,0.1773993527774555,True,3796,6228,300.95798470900627,0.1773993527774555,6.768721992111846,38.155280084945375,0.3590908243160414,2.0241946697884226,,1.0,17.0,423.66666666666674,10.0,2.0,0.0,0.0,0.0,20.0,239.66666666666674,2.0,2.0,1.0,0.0,0.0,18.0,36.666666666666515,1.0,1.0,0.0,0.0
30,28,4,1.1,bounded,hard,25.357062368444915,False,12.790331249998417,0.5431374684628364,True,67.25860487500904,max_iterations,540800,0.20542654308922703,False,0.1776884985236238,0.16892460362394365,True,3788,6267,300.5016971669975,0.16892460362394365,25.188137764820972,149.108757543065,0.3742128648388927,2.215265608507553,,4.0,14.0,724.9333333333334,11.0,3.0,64.0,0.0,0.0,19.0,257.46666666666647,2.0,2.0,0.0,0.0,0.0,18.0,40.59999999999991,1.0,1.0,0.0,0.0
