n,days,seed_inst,coverage_ratio,seed_sa,phys_id,part_time,is_exempt,hours,n_shifts,n_guardias,n_weekend,n_holiday
8,14,1,1.1,20,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,20,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,20,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,20,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,21,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,21,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,21,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,21,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,21,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,21,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,21,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,21,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,22,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,22,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,22,3,1.0,False,83.0,8,2,1,0
8,14,1,1.1,22,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,22,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,22,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,22,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,22,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,23,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,23,2,1.0,False,83.0,8,2,1,0
8,14,1,1.1,23,3,1.0,False,86.0,7,3,1,0
