n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
8,28,0,1.1,bounded,hard,0.6774757406336354,True,0.1667684170024586,0.41694942484416164,True,2.837891999995918,max_iterations,147200,0.3732150890045627,False,0.16121569657288176,0.31304695845918196,True,1022,1730,300.60201049999887,0.31304695845918196,0.3644287821744534,1.1641345565795398,0.10390246638497969,0.3319069665981996,,0.0,8.0,37.0,8.0,2.0,0.0,0.0,0.0,8.0,26.5,1.0,2.0,0.0,0.0,0.0,8.0,11.0,2.0,2.0,0.0,0.0
8,28,1,1.1,bounded,hard,37.62951819175935,False,0.12346291600260884,0.38123513912987594,True,2.690759083001467,max_iterations,140800,0.3732150890045627,False,0.1219735746138467,0.3276927104988511,True,1006,1668,300.7606918329984,0.3276927104988511,37.3018254812605,113.83172187283452,0.05354242863102482,0.1633921869959098,,6.0,3.0,202.0,9.0,3.0,0.0,0.0,0.0,8.0,19.0,1.0,2.0,0.0,0.0,0.0,8.0,11.0,2.0,2.0,0.0,0.0
8,28,2,1.1,bounded,hard,1.0543763254289569,True,0.12669574999745237,0.17329863119336802,True,2.9713517500058515,max_iterations,153600,0.15099286678234047,False,0.37240381372110376,0.09476254734791437,True,1038,1752,300.50733220799884,0.09476254734791437,0.9596137780810425,10.126508889191049,0.07853608384545366,0.8287671241794891,,0.0,8.0,86.5,9.0,3.0,0.0,0.0,0.0,8.0,22.0,1.0,0.0,0.0,0.0,0.0,8.0,11.0,2.0,0.0,0.0,0.0
8,28,3,1.1,bounded,hard,7.5561995001068745,False,0.15159208299883176,0.38469122138186884,True,2.8195149169987417,max_iterations,144000,0.34512287605812786,False,0.12955577598518095,0.30041021404017954,True,1014,1689,301.02480708299845,0.30041021404017954,7.255789286066695,24.152938039238045,0.0842810073416893,0.2805530684466568,,1.0,7.0,205.0,10.0,4.0,56.0,0.0,0.0,8.0,18.0,2.0,2.0,0.0,0.0,0.0,8.0,7.0,2.0,2.0,0.0,0.0
8,28,4,1.1,bounded,hard,13.593942948111227,False,0.10492429100122536,0.37250172006717147,True,2.7009740409994265,max_iterations,144000,0.33971483482126985,False,0.021173070105295105,0.33252202880779025,True,1014,1709,300.7789945830009,0.33252202880779025,13.261420919303436,39.88133046959429,0.03997969125938122,0.12023170736303587,,2.0,7.0,192.0,10.0,4.0,22.0,0.0,0.0,8.0,20.0,1.0,2.0,0.0,0.0,0.0,8.0,12.0,1.0,2.0,0.0,0.0
8,28,0,1.3,certified,hard,30.991270239670047,True,0.1330753750007716,0.28267866476049924,True,2.8245253330023843,max_iterations,147200,0.28267866476049924,True,1.0203912703425931e-08,0.2826786618760707,True,1022,1730,0.44224204200145323,0.28267866476049924,30.708591574909548,108.63427418877735,0.0,0.0,,5.0,8.0,116.75,10.0,3.0,16.0,0.0,0.0,8.0,7.0,0.0,2.0,8.0,0.0,0.0,8.0,7.0,0.0,2.0,8.0,0.0
8,28,1,1.3,certified,hard,67.58067291684453,False,0.18788216700340854,0.3464659066789512,True,3.010173874994507,max_iterations,140800,0.26589209401709396,True,0.0,0.2658920940170939,True,1006,1668,0.0443890829992597,0.26589209401709396,67.31478082282744,253.16578543512406,0.08057381266185726,0.30303199859969226,,11.0,4.0,293.0,11.0,4.0,40.0,0.0,0.0,8.0,17.0,1.0,2.0,25.0,0.0,0.0,8.0,0.0,0.0,2.0,8.0,0.0
8,28,2,1.3,certified,hard,37.09587458248546,True,0.13672666699858382,0.27704816082056294,True,3.111016832997848,max_iterations,153600,0.07664943724344102,True,0.0,0.07664943724344098,True,1038,1752,0.08868908300064504,0.07664943724344102,37.01922514524202,482.9679965903441,0.2003987235771219,2.614483951664893,,6.0,8.0,158.5,10.0,3.0,32.0,0.0,0.0,9.0,29.25,1.0,1.0,39.0,0.0,0.0,8.0,12.25,0.0,0.0,15.0,0.0
8,28,3,1.3,certified,hard,73.58403571957409,False,0.13908945800358197,0.3229518828298794,True,2.9050647910044063,max_iterations,144000,0.3229518828298794,True,9.39334474820769e-09,0.3229518797962809,True,1014,1689,0.4005544999963604,0.3229518828298794,73.2610838367442,226.8482945347489,0.0,0.0,,12.0,5.0,299.5,11.0,4.0,40.0,0.0,0.0,8.0,21.0,0.0,2.0,22.0,0.0,0.0,8.0,21.0,0.0,2.0,22.0,0.0
8,28,4,1.3,certified,hard,73.65942191934954,False,0.17516983299719868,0.28267866476049924,True,3.013285332999658,max_iterations,144000,0.28267866476049924,True,2.2268973971958975e-08,0.2826786584655353,True,1014,1709,0.11462787500204286,0.28267866476049924,73.37674325458904,259.57651709143954,0.0,0.0,,12.0,5.0,314.5,11.0,4.0,45.0,0.0,0.0,8.0,7.0,0.0,2.0,8.0,0.0,0.0,8.0,7.0,0.0,2.0,8.0,0.0
8,28,0,1.5,certified,hard,61.36863602524281,True,0.14731995799957076,0.40686704791642314,True,3.0343263340037083,max_iterations,147200,0.3520412748614544,True,0.0,0.35204124096407746,True,1022,1730,1.1708453749961336,0.3520412748614544,61.01659475038135,173.32227527693843,0.05482577305496872,0.15573677568502545,,10.0,8.0,225.5,12.0,4.0,67.0,0.0,0.0,8.0,17.0,1.0,2.0,130.0,0.0,0.0,8.0,7.0,0.0,2.0,120.0,0.0
8,28,1,1.5,certified,soft,127.19753218459101,False,0.29039037500479026,6.455384747900066,True,3.101302457995189,max_iterations,140800,6.37654938136709,True,4.989874890073141e-10,6.3765493781852705,True,1054,1668,0.3964867500035325,6.37654938136709,120.82098280322393,18.947705973433663,0.07883536653297618,0.012363327219474054,,21.0,0.0,413.0,7.0,1.0,0.0,0.0,1.0,7.0,26.0,2.0,2.0,134.0,0.0,1.0,7.0,17.5,0.0,2.0,127.0,0.0
8,28,2,1.5,certified,hard,67.22747999575743,True,0.1888172500039218,0.4198949218005062,True,3.2446846249949886,max_iterations,153600,0.14340646183318598,True,3.506631542515976e-08,0.1434064388371971,True,1038,1752,5.4672877920020255,0.14340646183318598,67.08407353392425,467.78975421594424,0.2764884599673202,1.9280055893781032,,11.0,7.0,229.0,11.0,3.0,44.0,0.0,0.0,8.0,14.0,2.0,2.0,113.0,0.0,0.0,8.0,14.0,0.0,0.0,120.0,0.0
